"imdb_id","genre_id"
"tt8698560",5
"tt1206534",5
"tt1774561",5
"tt37894901",5
"tt14534402",5
"tt7547768",5
"tt5057126",5
"tt1369677",5
"tt7803936",5
"tt1930424",5
"tt1462596",5
"tt36704885",5
"tt7946644",5
"tt8249858",5
"tt1479266",5
"tt2171114",5
"tt6380556",5
"tt1394258",5
"tt1859466",5
"tt14949656",5
"tt1237006",5
"tt5787348",5
"tt6120690",5
"tt18293874",5
"tt5459826",5
"tt30295755",5
"tt13612010",5
"tt10656230",5
"tt37149801",5
"tt30876746",5
"tt12820822",5
"tt14176796",5
"tt10643918",5
"tt19360804",5
"tt23807292",5
"tt21256000",5
"tt8065816",5
"tt1817736",5
"tt1748101",5
"tt1748168",5
"tt8517236",5
"tt9543488",5
"tt1657422",5
"tt10656222",5
"tt2316418",5
"tt9015650",5
"tt15711508",5
"tt1692957",5
"tt15092716",5
"tt1385908",5
"tt1537773",5
"tt4388222",5
"tt13958028",5
"tt1462654",5
"tt33701992",5
"tt7013254",5
"tt10157842",5
"tt7329748",5
"tt1385919",5
"tt10645276",5
"tt2549996",5
"tt5606148",5
"tt37149778",5
"tt32237658",5
"tt8233368",5
"tt10645298",5
"tt11470064",5
"tt5863772",5
"tt1930443",5
"tt2112177",5
"tt21308010",5
"tt9511256",5
"tt10640084",5
"tt6330072",5
"tt27687483",5
"tt8310710",5
"tt21848644",5
"tt14038500",5
"tt9060948",5
"tt8359898",5
"tt1479391",5
"tt1979353",5
"tt31109483",5
"tt8060288",5
"tt16673330",5
"tt11655972",5
"tt1631681",5
"tt8181502",5
"tt10485396",5
"tt9442920",5
"tt8955234",5
"tt10357406",5
"tt8517194",5
"tt2147199",5
"tt1631810",5
"tt1356851",5
"tt27694297",5
"tt6907856",5
"tt3239558",5
"tt3301012",5
"tt11646308",5
"tt7158514",5
"tt6135094",5
"tt18691722",5
"tt15850384",5
"tt27648500",5
"tt28131321",5
"tt1590984",5
"tt2062472",5
"tt31032022",5
"tt20916566",5
"tt1591001",5
"tt1356839",5
"tt1791574",5
"tt11657044",5
"tt1241201",5
"tt8066076",5
"tt2221713",5
"tt13465228",5
"tt1190160",5
"tt2285387",5
"tt11646334",5
"tt15682780",5
"tt20118266",5
"tt1774281",5
"tt10633542",5
"tt30476511",5
"tt10687474",5
"tt5065314",5
"tt6684436",5
"tt1252526",5
"tt28376705",5
"tt34791064",5
"tt1718798",5
"tt2323657",5
"tt1693041",5
"tt2285649",5
"tt1631829",5
"tt9033494",5
"tt35936906",5
"tt14008552",5
"tt9033464",5
"tt1576486",5
"tt11646086",5
"tt2323629",5
"tt5306164",5
"tt1286505",5
"tt10640338",5
"tt2285637",5
"tt1394272",5
"tt32740308",5
"tt7142620",5
"tt1286654",5
"tt2316564",5
"tt1791618",5
"tt18372304",5
"tt2902708",5
"tt2902646",5
"tt2902558",5
"tt11646320",5
"tt2187538",5
"tt1444994",5
"tt1190124",5
"tt10589924",5
"tt2285629",5
"tt12242980",5
"tt21926520",5
"tt8842380",5
"tt11554776",5
"tt7277330",5
"tt23136152",5
"tt38454776",5
"tt1236890",5
"tt9454070",5
"tt3524530",5
"tt1791542",5
"tt35622079",5
"tt3777096",5
"tt6456734",5
"tt1979259",5
"tt8512642",5
"tt1555940",5
"tt7094790",5
"tt1693040",5
"tt1385921",5
"tt3032254",5
"tt38623880",5
"tt10768466",5
"tt1238753",5
"tt18556496",5
"tt10773014",5
"tt11804076",5
"tt15556636",5
"tt2343044",5
"tt9528890",5
"tt17887826",5
"tt2062567",5
"tt1301248",5
"tt10324148",5
"tt32216004",5
"tt11936544",5
"tt9025318",5
"tt35692592",5
"tt1555894",5
"tt14715098",5
"tt38839304",5
"tt2285647",5
"tt1308944",5
"tt1748162",5
"tt18969072",5
"tt2285595",5
"tt2343238",5
"tt5129312",5
"tt1817669",5
"tt11656662",5
"tt2221745",5
"tt1293609",5
"tt15059274",5
"tt1593753",5
"tt1507373",5
"tt6908176",5
"tt9818102",5
"tt1537862",5
"tt28761983",5
"tt37502132",5
"tt3903990",5
"tt38721745",5
"tt12868184",5
"tt7143686",5
"tt1507326",5
"tt32546802",5
"tt30131650",5
"tt1356801",5
"tt1748088",5
"tt14534286",5
"tt1877560",5
"tt2455388",5
"tt1394246",5
"tt15763878",5
"tt7277350",5
"tt6503596",5
"tt4895572",5
"tt2354069",5
"tt10870258",5
"tt27744001",5
"tt36820596",5
"tt11646170",5
"tt1817710",5
"tt11841144",5
"tt2062681",5
"tt30817467",5
"tt35668447",5
"tt2455368",5
"tt6327522",5
"tt1462603",5
"tt1479288",5
"tt1593639",5
"tt10230316",5
"tt6116856",6
"tt15528292",6
"tt1899353",6
"tt13484872",6
"tt2265171",6
"tt27004149",6
"tt13729220",6
"tt28857853",6
"tt14773940",6
"tt28349451",6
"tt37534343",6
"tt33022038",6
"tt15276480",6
"tt5305352",6
"tt12949990",6
"tt6503672",6
"tt33479839",6
"tt32351597",6
"tt29899715",6
"tt33399867",6
"tt10643918",6
"tt4818844",6
"tt5732630",6
"tt9511256",6
"tt27490380",6
"tt8060288",6
"tt5057126",6
"tt2072940",6
"tt38671739",6
"tt4373670",6
"tt1537898",6
"tt10200522",6
"tt1930501",6
"tt6574480",6
"tt26923485",6
"tt20224156",6
"tt33513545",6
"tt37502132",6
"tt36217095",6
"tt11240996",6
"tt4379102",6
"tt33311826",6
"tt5598332",6
"tt10011002",6
"tt36553769",6
"tt38221401",6
"tt3524530",6
"tt5065314",6
"tt1445099",6
"tt35295730",7
"tt18938680",7
"tt9231140",7
"tt30750109",7
"tt2316498",7
"tt6917210",7
"tt11799790",7
"tt10544980",7
"tt10280220",7
"tt10066526",7
"tt17497250",7
"tt10530462",7
"tt21100454",7
"tt9420624",7
"tt34548722",7
"tt7076834",7
"tt8237172",7
"tt27433995",7
"tt10521234",7
"tt9165634",7
"tt6506146",7
"tt21249546",7
"tt1930424",7
"tt13387422",7
"tt11749980",7
"tt31158596",7
"tt15000966",7
"tt4966450",7
"tt10994712",7
"tt18971964",7
"tt11646346",7
"tt10932100",7
"tt10015812",7
"tt10773114",7
"tt5147214",7
"tt5923026",7
"tt10468374",7
"tt8517144",7
"tt27004149",7
"tt18884798",7
"tt4848404",7
"tt21047870",7
"tt15169898",7
"tt11067190",7
"tt6467500",7
"tt1447791",7
"tt1368116",7
"tt10092860",7
"tt3403944",7
"tt32915470",7
"tt33183823",7
"tt7142620",7
"tt10090058",7
"tt13370162",7
"tt9590188",7
"tt4911656",7
"tt27799267",7
"tt11929078",7
"tt16915972",7
"tt15712278",7
"tt1293609",7
"tt8836476",7
"tt33479839",7
"tt31158599",7
"tt28857853",7
"tt18080778",7
"tt28418717",7
"tt36009904",7
"tt10640766",7
"tt11753890",7
"tt10540024",7
"tt31145648",7
"tt15353362",7
"tt2285389",7
"tt14038500",7
"tt5821664",7
"tt28468241",7
"tt1748193",7
"tt1748192",7
"tt11646334",7
"tt1190108",7
"tt2112276",7
"tt7752880",7
"tt7541708",7
"tt13555930",7
"tt8856944",7
"tt27462965",7
